Capacitance,Comment,Description,Designator,Footprint,LibRef,Quantity

"10uF","Murata GCM188R71H104KA57D","CAP CER 0.1UF 50V 10% X7R 0603","C1","CAPC1608X90X35ML10T15","CMP-119667-3","1"
"100nF","Murata GCM188R71H104KA57D","CAP CER 0.1UF 50V 10% X7R 0603","C2, C3","CAPC1608X90X35ML10T15","CMP-119667-3","2"
"","uHAL_connector_reduced","connector for uHAL with reduced pin number","J1","PCB-45ncoppm4oopozvqifsq-1","CMP-2q23h2cwhjlfm8s6r7i8-1","1"
"","22R","RCA Series 0603 0.1 W 0 O Jumper Surface Mount Thick Film Chip Resistor","R1, R2, R3, R4","RESC1608X05N","CMP-31acf99032f6ee6b-1","4"
"","Asahi Kasei AK8975BP-L","3-axis Electronic Compass","U1","PCB-e1nx98ugchmxbk2nqwbe-1","CMP-3b1ff0b150b6e4d8-1","1"
